,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
0,22025,1610612745,HOU,Houston Rockets,0022500012,2025-12-25,HOU @ LAL,W,241,119,48,90,0.533,8,24,0.333,15,19,0.789,17,31,48,24,10,6,15,13,23.0
1,22025,1610612747,LAL,Los Angeles Lakers,0022500012,2025-12-25,LAL vs. HOU,L,238,96,39,77,0.506,11,30,0.367,7,11,0.636,7,18,25,19,7,5,16,17,-23.0
2,22025,1610612743,DEN,Denver Nuggets,0022500013,2025-12-25,DEN vs. MIN,W,264,142,47,101,0.465,19,43,0.442,29,32,0.906,11,34,45,31,6,5,17,18,4.0
3,22025,1610612750,MIN,Minnesota Timberwolves,0022500013,2025-12-25,MIN @ DEN,L,265,138,51,104,0.49,12,45,0.267,24,30,0.8,11,36,47,31,10,12,13,27,-4.0
4,22025,1610612760,OKC,Oklahoma City Thunder,0022500010,2025-12-25,OKC vs. SAS,L,242,102,37,95,0.389,11,44,0.25,17,25,0.68,16,32,48,23,7,6,7,18,-15.0
5,22025,1610612759,SAS,San Antonio Spurs,0022500010,2025-12-25,SAS @ OKC,W,239,117,45,84,0.536,11,29,0.379,16,21,0.762,10,39,49,20,3,4,12,16,15.0
6,22025,1610612744,GSW,Golden State Warriors,0022500011,2025-12-25,GSW vs. DAL,W,241,126,44,99,0.444,14,50,0.28,24,26,0.923,13,36,49,33,9,4,11,22,10.0
7,22025,1610612742,DAL,Dallas Mavericks,0022500011,2025-12-25,DAL @ GSW,L,240,116,49,89,0.551,4,14,0.286,14,21,0.667,3,38,41,18,5,5,11,16,-10.0
8,22025,1610612739,CLE,Cleveland Cavaliers,0022500009,2025-12-25,CLE @ NYK,L,239,124,45,86,0.523,15,34,0.441,19,23,0.826,9,36,45,30,7,0,14,22,-2.0
9,22025,1610612752,NYK,New York Knicks,0022500009,2025-12-25,NYK vs. CLE,W,240,126,44,94,0.468,21,44,0.477,17,22,0.773,12,31,43,28,9,4,13,17,2.0
